Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал
Жир бараний топлёный;0.0;99.7;0.0;897
Жир говяжий топлёный;0.0;99.7;0.0;897
Жир из печени трески;0.0;99.8;0.0;898
Жир кондитерский для шоколадных изделий;0.0;99.7;0.0;897
Жир кондитерский твердый;0.0;99.8;0.0;898
Жир костный топлёный;0.0;99.7;0.0;897
Жир кулинарный;0.0;99.7;0.0;897
Жир куриный;0.0;99.7;0.0;897
Жир рыбий;0.0;100.0;0.0;902
Жир свиной топлёный;0.0;99.6;0.0;896
Маргарин низкокалорийный;0.5;60.0;0.7;545
Маргарин Славянский;0.3;82.0;0.1;743
Маргарин сливочный;0.5;82.0;0.0;745
Маргарин столовый молочный;0.3;82.0;1.0;743
Маргарин столовый Сливочник 40%;0.0;40.0;0.0;360
Маргарин Экстра;0.5;82.0;1.0;744
Масло абрикосовое;0.0;99.9;0.0;899
Масло авокадо;0.0;100.0;0.0;884
Масло амаранта;0.0;81.8;0.0;736
Масло арахисовое;0.0;99.9;0.0;899
Масло арахисовое PB2 сухое обезжиренное;37.5;8.3;37.5;375
Масло виноградных косточек;0.0;99.9;0.0;899
Масло горчичное;0.0;99.8;0.0;898
Масло грецкого ореха;0.0;99.8;0.0;898
Масло гхи топлёное;0.0;100.0;0.0;902
Масло гхи топлёное МакЛарин с базиликом;0.0;99.0;0.0;891
Масло зародышей пшеницы;0.0;100.0;0.0;884
Масло иланг-иланга;0.0;99.0;0.0;890
Масло какао;0.0;99.9;0.0;899
Масло канолы;0.0;99.0;0.0;898
Масло кедрового ореха;0.0;99.0;0.0;898
Масло кокосовое;0.0;99.9;0.0;899
Масло кокосовое Nutiva с ароматом сливочного масла;0.0;100.0;0.0;923
Масло кокосовое Tropicana;12.0;87.7;2.9;802
Масло конопляное;0.0;99.9;0.0;899
Масло кукурузное;0.0;99.9;0.0;899
Масло кунжутное;0.0;99.9;0.0;899
Масло лимонное;0.0;100.0;0.0;900
Масло льняное;0.0;99.8;0.0;898
Масло макадамии;9.2;74.6;10.0;708
Масло маковое;0.0;99.8;0.0;898
Масло миндальное;0.0;90.7;0.0;816
Масло мускатного ореха;0.0;100.0;0.1;899
Масло облепиховое;0.0;99.5;0.0;896
Масло овсяное;0.0;99.0;0.0;890
Масло оливковое;0.0;99.8;0.0;898
Масло оливковое Filippo Berio Olive Oil;0.0;91.3;0.0;822
Масло оливковое Monini Classico Extra Vergine;0.0;100.0;0.0;900
Масло ореховое;0.0;100.0;0.0;899
Масло пальмовое;0.0;99.9;0.0;899
Масло подсолнечное;0.0;99.9;0.0;900
Масло рапсово-соевое;0.0;99.9;0.0;899
Масло рапсовое;0.0;99.9;0.0;899
Масло растительное нерафинированное;0.0;99.0;0.0;899
Масло растительное рафинированное;0.0;99.0;0.0;899
Масло расторопши;0.0;98.0;0.0;889
Масло репейное;0.0;100.0;0.0;930
Масло рисовое Kohinoor Rice Bran Oil;0.0;91.5;0.0;824
Масло рыжиковое;0.0;99.0;0.0;900
Масло сафлоровое;0.0;100.0;0.0;880
Масло сливочное;0.5;82.5;0.8;748
Масло сливочное 60%;1.3;60.0;1.7;552
Масло сливочное 67%;1.0;67.0;1.6;610
Масло сливочное Брест-Литовск несолёное 72.5%;0.8;72.5;1.3;661
Масло сливочное Валио 82%;0.7;82.0;0.7;740
Масло сливочное Вкуснотеево традиционное 82.5%;0.6;82.5;0.8;748
Масло сливочное крестьянское несолёное 72.5%;1.0;72.5;1.4;662
Масло сливочное крестьянское солёное 72.5%;1.0;72.5;1.4;662
Масло сливочное Светаево 82.5%;0.6;82.5;0.8;750
Масло сливочное шоколадное;1.5;62.0;18.6;642
Масло сливочное шоколадное Избёнка (ВкусВилл) 62%;1.2;62.0;19.6;644
Масло соевое;0.0;99.9;0.0;899
Масло топлёное;0.2;99.0;0.0;892
Масло топлёное МакЛарин с чёрным трюфелем;0.0;99.0;0.0;890
Масло тыквенное;0.0;99.5;0.0;896
Масло хлопковое;0.0;99.0;0.0;899
Масло ши (карите);0.0;98.0;0.0;884
Масло шишек хмеля;0.0;99.0;0.0;897
Спред растительно-жировой Нежный;0.0;40.0;0.0;360
Тахина;24.0;62.0;10.0;695
