Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал
Абрикосовая косточка;14.0;27.7;56.3;440
Арахис;26.3;45.2;9.9;622
Арахис Джаз жареный соленый;25.0;52.0;17.0;640
Арахис Степановна обжаренный соленый;29.2;50.2;5.7;590
Арахис сушеный;29.2;50.2;10.8;611
Бананы сушёные;3.9;1.8;80.5;390
Барбарис сушеный;0.0;0.0;38.0;152
Боярышник сушеный;0.0;0.0;38.0;142
Бразильский орех;14.3;66.4;4.8;656
Буковый орех;6.2;50.0;33.5;576
Вишня вяленая;1.5;0.0;73.0;290
Вишня сушеная;1.5;0.0;73.0;290
Грецкий орех;15.2;65.2;7.0;654
Груши сушёные;2.3;0.6;62.6;249
Дыня сушеная;0.7;0.1;82.2;341
Желудь;24.0;20.7;15.7;387
Изюм;2.9;0.6;66.0;264
Изюм кишмиш;2.3;0.0;71.2;279
Изюм узбекский золотистый;1.8;0.0;70.9;291
Изюм узбекский чёрный;1.8;0.0;70.9;291
Инжир сушеный;3.1;0.8;57.9;257
Какао-бобы;12.8;53.1;9.5;565
Каштан жареный;3.2;2.2;33.8;182
Каштан консервированный;3.4;2.2;50.0;213
Каштан свежий;3.4;3.0;30.6;166
Кедровые орехи;15.6;56.0;28.4;680
Кедровый жмых;31.0;19.0;33.0;432
Кешью жареный;17.5;42.2;30.5;572
Кешью необжаренный;17.5;42.5;30.5;572
Клюква сушеная;0.1;1.4;76.5;308
Кокосовый орех;3.4;33.5;6.2;354
Коктейль орехи и сухофрукты;11.2;27.9;46.6;483
Кумкват сушёный;3.8;0.0;80.1;284
Кунжут;19.4;48.7;12.2;565
Кунжут чёрный;19.4;48.4;12.2;565
Курага;5.2;0.3;51.0;215
Мак;17.5;47.5;2.0;505
Мак пищевой Националь;18.0;48.0;15.0;560
Малина сублимированная;5.1;0.2;63.2;275
Манго сушёный;1.5;0.8;81.6;314
Миндаль обезжиренный (миндальный жмых);37.9;18.8;37.7;418
Миндаль сладкий;18.6;57.7;16.2;645
Миндальные лепестки;22.0;58.0;12.0;650
Орех кола;7.9;0.1;5.2;150
Орех кукуи;7.9;75.8;5.2;620
Орех лещина;13.1;62.6;9.3;653
Орех макадамия;7.9;75.8;5.2;718
Орех пекан;9.2;72.0;4.3;691
Орех пили;10.8;79.6;4.0;719
Орех сейшельский Коко-де-мер;3.3;33.5;6.2;354
Орех чилим;11.9;3.4;55.4;200
Орехи;15.0;40.0;20.0;500
Персик сушёный;3.0;0.4;57.7;254
Плоды дерева ши (карите);0.0;0.0;0.0;
Рапс;30.8;43.6;7.2;544
Семена горчицы;25.8;30.8;23.4;474
Семена конопли;20.0;32.5;14.0;429
Семена льна;18.3;42.2;28.9;534
Семена льна Ваше здоровье;18.3;42.2;1.6;459
Семена пажитника;23.0;6.4;58.3;323
Семена укропа;16.0;14.5;55.1;305
Семена фенхеля;15.8;14.8;52.3;345
Семена чиа;16.5;30.7;42.1;512
Семечки дынные;17.6;47.3;14.6;555
Семечки подсолнечника;20.7;52.9;3.4;578
Семечки тыквенные;24.5;45.8;4.7;556
Смесь из семян для салата ВкусВилл;23.0;49.0;10.0;573
Смесь ореховая Молодёжная Белый Пеликан;10.0;23.3;52.5;460
Смесь сухофрукты и орехи Красная цена;13.5;6.1;29.4;590
Урюк;5.0;0.4;50.6;213
Финики;2.5;0.5;69.2;274
Финики с косточкой Ritmix;3.5;0.2;68.0;290
Фисташки;20.0;50.0;7.0;556
Фундук;16.1;66.9;9.9;704
Хурма вяленая;1.7;0.0;58.9;242
Цукаты (смесь кубиков ананаса и папайи);2.0;1.0;71.0;301
Цукаты ананас и папайя Каждый день;5.0;1.0;82.0;360
Цукаты из ананаса;1.7;2.2;17.9;91
Цукаты из апельсина;2.0;1.0;71.0;301
Цукаты из арбузных корок;2.5;0.0;51.0;209
